granularity,k_mae,nll,compression_ratio,tier_summary
token,1.583251953125,1.3127291055718475,0.4976043701171875,"{'fp16': 6188, 'int8': 8428, 'int4': 14056}"
channel,1.189697265625,0.021855373885974156,0.5324935913085938,"{'fp16': 6188, 'int8': 8428, 'int4': 14056}"
