sequence,base_nll,adaptive_nll,compression_ratio
0,1.9904162883758545,1.9916798974108452,0.44075775146484375
1,2.4047248363494873,2.4037310698583294,0.44075775146484375
2,2.635056734085083,2.636388617489008,0.44075775146484375
3,2.466649055480957,2.4684904738641915,0.44075775146484375
4,2.1893627643585205,2.1912554958475816,0.44075775146484375
5,1.7590203285217285,1.7617550073277968,0.44075775146484375
6,1.5392333269119263,1.5469894968246214,0.44075775146484375
7,2.0903074741363525,2.0945285784074255,0.44075775146484375
8,2.264974355697632,2.264350268685882,0.44075775146484375
9,2.388669490814209,2.3894723986321447,0.44075775146484375
