context_length,depth,baseline_acc,adaptive_acc
1000,0.1,1.0,1.0
1000,0.5,0.6,0.6
1000,0.9,0.8,0.8
4000,0.1,0.0,0.0
4000,0.5,0.0,0.0
4000,0.9,0.8,0.8
8000,0.1,0.0,0.0
8000,0.5,0.0,0.0
8000,0.9,0.0,0.0
