granularity,k_mae,nll,compression_ratio,tier_summary
token,1.2750091552734375,1.4419751955034212,0.5016886393229166,"{'fp16': 7072, 'int8': 9632, 'int4': 16064}"
channel,1.272979736328125,1.4455568792766373,0.5345357259114584,"{'fp16': 7072, 'int8': 9632, 'int4': 16064}"
