sequence,base_nll,adaptive_nll,compression_ratio
0,1.9904162883758545,1.9926111382510991,0.6039199829101562
1,2.4047248363494873,2.4062957987298486,0.6039199829101562
2,2.635056734085083,2.636388617489008,0.6039199829101562
3,2.466649055480957,2.469803370786517,0.6039199829101562
4,2.1893627643585205,2.190186858817782,0.6039199829101562
5,1.7590203285217285,1.7598619931607231,0.6039199829101562
6,1.5392333269119263,1.5415165486077187,0.6039199829101562
7,2.0903074741363525,2.090437225207621,0.6039199829101562
8,2.264974355697632,2.2675867122618465,0.6039199829101562
9,2.388669490814209,2.390052515876893,0.6039199829101562
