prompt_length,baseline_cache_mb,adaptive_cache_mb,memory_reduction_pct,baseline_tokens_per_second,adaptive_tokens_per_second
512,18.35008,11.276832,38.546142578125,39.6767591436404,12.741557348688588
2048,62.390272,37.265088,40.27099609375,42.294077305079064,12.221942939352402
8192,118.386688,70.293216,40.62405394768709,39.931405107780726,12.71117359520136
