prompt_length,baseline_cache_mb,adaptive_cache_mb,memory_reduction_pct,baseline_tokens_per_second,adaptive_tokens_per_second
512,18.35008,11.276832,38.546142578125,39.72218516199804,13.815323571443408
2048,62.390272,37.265088,40.27099609375,42.577350244766166,14.038435101272567
8192,118.386688,70.293216,40.62405394768709,41.12383140994349,13.613999830589004
