sequence,base_nll,adaptive_nll,compression_ratio
0,1.9904162883758545,1.99026013678554,0.5055656433105469
1,2.4047248363494873,2.406875915974597,0.5055656433105469
2,2.635056734085083,2.6361443575964825,0.5055656433105469
3,2.466649055480957,2.467513434294089,0.5055656433105469
4,2.1893627643585205,2.1900036638983877,0.5055656433105469
5,1.7590203285217285,1.7609611626770885,0.5055656433105469
6,1.5392333269119263,1.5416692110405472,0.5055656433105469
7,2.0903074741363525,2.0887884709330726,0.5055656433105469
8,2.264974355697632,2.266395945285784,0.5055656433105469
9,2.388669490814209,2.390968490473864,0.5055656433105469
