context_length,depth,baseline_acc,adaptive_acc
1000,0.1,1.0,1.0
1000,0.5,1.0,1.0
1000,0.9,1.0,1.0
4000,0.1,1.0,1.0
4000,0.5,1.0,1.0
4000,0.9,1.0,1.0
8000,0.1,1.0,1.0
8000,0.5,1.0,1.0
8000,0.9,1.0,1.0
