prompt_length,baseline_cache_mb,adaptive_cache_mb,memory_reduction_pct,baseline_tokens_per_second,adaptive_tokens_per_second
512,251.65824,155.086848,38.37402343750001,28.246479110068886,12.430723673940657
2048,855.638016,512.598016,40.09172028186274,22.930855662252277,10.431549652619095
8192,1938.161664,1152.88064,40.51679684858321,16.134801495485632,4.846486636096101
