prompt_length,baseline_cache_mb,adaptive_cache_mb,memory_reduction_pct,baseline_tokens_per_second,adaptive_tokens_per_second
512,18.35008,11.276832,38.546142578125,35.126928120654746,11.918618144737627
2048,62.390272,37.265088,40.27099609375,35.43066914845236,11.893172925113504
8192,118.386688,70.293216,40.62405394768709,28.252689603863296,11.591258119417867
