context_length,depth,baseline_acc,adaptive_acc
1000,0.1,0.6,0.6
1000,0.5,0.2,0.2
1000,0.9,0.6,0.6
4000,0.1,0.4,0.4
4000,0.5,0.0,0.0
4000,0.9,1.0,1.0
8000,0.1,0.2,0.2
8000,0.5,0.8,0.8
8000,0.9,0.4,0.4
